dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
0.714182,tcp,,FIN,10,6,534,268,21.003049,254,252,5387.982422,2509.164307,2,1,79.353556,120.191398,4013.392196,218.658469,255,3802396535,2514907206,255,0.162097,0.079909,0.082188,53,45,0,0,3,1,1,1,1,2,0,0,0,2,2,0,Normal,0
0.757295,tcp,,FIN,10,6,534,268,19.80734,254,252,5081.243164,2366.316895,2,1,84.023333,123.799203,4064.836863,186.487812,255,1416292821,1856664256,255,0.226895,0.138291,0.088604,53,45,0,0,3,1,1,1,1,2,0,0,0,1,2,0,Normal,0
0.759306,tcp,,FIN,10,8,534,354,22.388865,254,252,5067.785645,3266.140381,2,1,84.242667,98.501711,4716.886723,140.050609,255,2545019062,3292860217,255,0.172317,0.069791,0.102526,53,44,0,0,5,1,1,1,1,3,0,0,0,1,3,0,Normal,0
0.624048,tcp,,FIN,10,6,534,268,24.036613,254,252,6166.192383,2871.573975,2,1,69.229667,106.834797,3412.856309,145.655875,255,2425182602,2706975732,255,0.221323,0.089865,0.131458,53,45,0,0,5,1,1,1,1,3,0,0,0,1,3,0,Normal,0
0.655618,tcp,,FIN,10,6,534,268,22.879176,254,252,5869.271484,2733.298828,2,1,69.326,107.047,3518.358106,160.930422,255,740536776,1008520884,255,0.199328,0.120374,0.078954,53,45,0,0,2,1,1,1,1,2,0,0,0,1,2,0,Normal,0
0.582389,tcp,,FIN,10,6,534,268,25.755981,254,252,6607.267578,3076.981201,2,1,64.699778,96.684398,3507.093149,155.981016,255,4226419251,1222508038,255,0.178731,0.098958,0.079773,53,45,0,0,3,1,1,1,1,2,0,0,0,1,2,0,Normal,0
1.047169,tcp,,FIN,10,8,534,354,16.234247,254,252,3674.669678,2368.290283,2,1,116.352111,132.691281,7064.833854,172.447047,255,3922662296,186468384,255,0.171522,0.11764,0.053882,53,44,0,0,3,1,1,1,1,2,0,0,0,2,2,0,Normal,0
0.664512,tcp,,FIN,10,6,534,268,22.572957,254,252,5790.71582,2696.71582,2,1,69.994778,114.784602,3565.853629,166.495,255,2600388172,623342715,255,0.148054,0.090584,0.05747,53,45,0,0,5,1,1,1,1,3,0,0,0,2,3,0,Normal,0
0.860208,tcp,,FIN,10,6,534,268,17.437643,254,252,4473.336914,2083.217041,2,1,95.474667,156.240203,4650.146095,225.094078,255,2537299422,4130059309,255,0.16717,0.079005,0.088165,53,45,0,0,5,1,1,1,1,3,0,0,0,1,3,0,Normal,0
0.651652,tcp,,FIN,10,6,534,268,23.018422,254,252,5904.992188,2749.934082,2,1,68.209889,112.848203,3503.393362,172.291953,255,573378078,3844895218,255,0.191544,0.087402,0.104142,53,45,0,0,5,1,1,1,1,3,0,0,0,1,3,0,Normal,0
1.15935,tcp,,FIN,10,8,534,354,14.663388,254,252,3319.101074,2139.129639,2,1,122.448111,153.663141,8652.007826,198.409875,255,1859843698,1145592012,255,0.153635,0.083699,0.069936,53,44,0,0,3,1,1,1,1,2,0,0,0,1,2,0,Normal,0
0.717487,tcp,,FIN,10,6,534,268,20.906303,254,252,5363.163574,2497.606201,2,1,66.388333,126.871,3284.802132,162.022297,255,4059060577,1649278110,255,0.132444,0.083125,0.049319,53,45,0,0,3,1,1,1,1,2,0,0,0,2,2,0,Normal,0
0.869206,tcp,,FIN,10,6,534,268,17.257129,254,252,4427.028809,2061.651611,2,1,89.176556,152.091797,4647.90085,215.683547,255,1130834393,1765038992,255,0.2012,0.108745,0.092455,53,45,0,0,4,1,1,1,1,3,0,0,0,1,3,0,Normal,0
0.724897,tcp,,FIN,10,6,534,268,20.692594,254,252,5308.340332,2472.075195,2,1,78.324111,114.136,4176.591702,179.829109,255,1754390776,3920969527,255,0.305671,0.154212,0.151459,53,45,0,0,4,1,1,1,1,3,0,0,0,1,3,0,Normal,0
0.885835,tcp,,FIN,10,6,534,268,16.933176,254,252,4343.924316,2022.950073,2,1,98.388333,146.184594,4828.08777,224.065016,255,1049614339,2314763912,255,0.264407,0.154903,0.109504,53,45,0,0,4,1,1,1,1,3,0,0,0,2,3,0,Normal,0
